Bulgur;Bulgur;10000;33900;840;100;6940;180;940;0
Bündnerfleisch;Bündnerfleisch;10000;18300;3800;340;0;0;0;0
Butter;Butter;10000;74200;100;8200;0;0;0;0
Butterbrezel;Butterbrezel;10000;35000;600;1800;4100;140;0;0
Butterkäse;Butterkäse;10000;38500;2200;3300;0;0;0;0
Butterkekse;Butterkeks;10000;43000;840;1200;7200;2100;0;0
Buttermilch;Buttermilch;10000;4400;380;130;420;420;0;0
Butterpilze;Butterpilz;10000;1600;200;0;0;0;420;0
Gheebutter;Butterschmalz;10000;89100;0;9900;0;0;0;0
Cabanossi;Cabanossi;10000;32600;1400;3000;0;0;0;0
Camembert;Camembert;10000;39100;1900;3500;0;0;0;0
Camu-Camu Pulver;Camu-Camu Pulver;10000;37300;400;0;8900;7000;70;0
Cappuccino;Cappuccino;10000;3300;150;170;300;300;0;0
Cashewmus;Cashewmus;10000;57200;2000;4000;3100;1400;400;0
Cashewnüsse;Cashewnuss;10000;57500;2100;4040;3070;600;240;0
Cervelatwurst;Cervelatwurst;10000;35100;1700;3100;100;100;0;0
Cevapcici;Cevapcici;10000;24400;1700;1900;100;0;40;0
Champagner;Champagner;10000;9100;0;0;500;500;0;1000
Champignons;Champignon;10000;1900;300;0;80;80;200;0
Cheddar Käse;Cheddar Käse;10000;38500;2200;3300;0;0;0;0
Cheeseburger;Cheeseburger;10000;30800;1500;1400;3000;500;100;0
Cherrytomaten;Cherrytomaten;10000;2000;70;10;350;320;100;0
Chia;Chia;10000;45100;2100;3100;500;0;3400;0
Chia Brot;Chia Brot;10000;32300;1240;2310;1200;110;890;0
Chia Brötchen;Chia Brötchen;10000;27800;1000;300;5100;300;340;0
Chicken Nuggets;Chicken Nuggets;10000;30000;1500;2000;1400;0;210;0
Chicken Wings;Chicken Wings;10000;18600;1500;1400;0;0;0;0
Chicorée;Chicorée;10000;1400;100;0;200;200;110;0
Chili con carne;Chili con carne;10000;11400;1000;350;1000;200;140;0
Chilischote;Chilischote;10000;5000;180;40;900;600;170;0
Chinakohl;Chinakohl;10000;1300;70;30;80;70;200;0
Chlorella;Chlorella;10000;40400;5500;1000;2300;0;100;0
Ciabatta Brot;Ciabatta Brot;10000;34200;800;350;6830;80;270;0
Cidre;Cidre;10000;5200;0;0;600;600;0;400
Clementine;Clementine;10000;4500;100;0;950;950;170;0
Cola;Cola;10000;4800;0;0;1200;1200;0;0
Cola light;Cola light;10000;300;0;0;70;0;0;0
Cola Zero;Cola Zero;10000;0;0;0;0;0;0;0
Cordon bleu v. Schwein;Cordon bleu v. Schwein;10000;20400;1500;1080;1180;300;0;0
Corned Beef;Corned Beef;10000;14300;2000;700;0;0;0;0
Cornflakes, natur;Cornflakes, natur;10000;35100;650;80;7800;400;300;0
Couscous gekocht;Couscous gekocht;10000;11900;400;0;2500;0;130;0
Couscous roh;Couscous roh;10000;33000;1200;200;6600;170;0;0
Cranberries getrocknet;Cranberries getrocknet;10000;34100;50;50;8100;7000;510;0
Cranberry;Cranberry;10000;3900;100;100;500;500;300;0
Creme fraiche 15%;Creme fraiche 15%;10000;15900;200;1500;400;300;0;0
Creme fraiche 30%;Creme fraiche 30%;10000;29800;200;3000;500;500;0;0
Crevetten;Crevette;10000;8500;1900;100;0;0;0;0
Croissant;Croissant;10000;43500;610;2700;4100;680;170;0
Curry;Curry;10000;34400;1300;1400;2500;300;3300;0
Currywurst mit Sauce;Currywurst mit Sauce;10000;32900;1100;2500;1500;1500;0;0
Datteln;Dattel;10000;26600;200;0;6000;6000;900;0
Diätbier;Diätbier;10000;3100;0;0;200;0;0;330
Dicke Bohnen;Dicke Bohne;10000;9200;680;120;1190;510;300;0
Diesel;Diesel;10000;3800;0;0;600;500;0;200
Dill;Dill;10000;37700;1600;1500;3400;300;2100;0
Dinkelbrot;Dinkelbrot;10000;20200;600;100;4000;240;440;0
Dinkelbrötchen;Dinkelbrötchen;10000;21500;980;340;3400;290;440;0
Dinkelflocken;Dinkelflocke;10000;35300;1420;260;6400;160;860;0
Dinkelkleie;Dinkelkleie;10000;26600;1550;490;1770;20;4430;0
Dinkelmehl, Vollkorn;Dinkelmehl, Vollkorn;10000;35700;1240;300;6600;70;800;0
Dinkelnudeln roh;Dinkelnudel roh;10000;32200;1400;200;6200;0;0;0
Dinkelvollkornbrot;Dinkelvollkornbrot;10000;22200;680;190;4150;110;590;0
Dominosteine;Dominosteine;10000;38700;350;800;7500;6000;40;0
Döner;Döner;10000;18500;1200;600;1980;400;190;0
Dönerfleisch;Dönerfleisch;10000;23700;2500;1400;280;0;0;0
Donut;Donut;10000;44500;500;2500;4910;2700;190;0
Dorade;Dorade;10000;13300;2200;500;0;0;0;0
Drachenfrucht;Drachenfrucht;10000;3700;90;40;710;690;70;0
Edamer Käse;Edamer Käse;10000;35800;2200;3000;0;0;0;0
